firm,Ticker,Income Before Tax,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Interest Expense,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Net Income From Continuing Ops,Profit Margin(%),EBIT Margin,SG&A to Revenue Ratio,Tax rate
3M,MMM,"? 1,76,10,00,000.00","? 1,43,40,00,000.00","? 1,73,90,00,000.00","? 4,08,90,00,000.00","? 1,86,80,00,000.00","? 1,86,80,00,000.00","? 11,70,00,000.00","? 32,40,00,000.00","? 8,94,20,00,000.00","? 7,07,40,00,000.00","? 4,85,30,00,000.00","? 1,43,70,00,000.00",35.07%,45.68%,42.53%,18.57%
3M,MMM,"? 1,94,00,00,000.00","? 1,52,40,00,000.00","? 1,66,60,00,000.00","? 4,23,10,00,000.00","? 2,05,10,00,000.00","? 2,05,10,00,000.00","? 12,10,00,000.00","? 41,50,00,000.00","? 8,95,00,00,000.00","? 6,89,90,00,000.00","? 4,71,90,00,000.00","? 1,52,50,00,000.00",36.02%,48.48%,39.38%,21.44%
3M,MMM,"? 1,94,60,00,000.00","? 1,62,40,00,000.00","? 1,72,00,00,000.00","? 4,32,70,00,000.00","? 2,08,70,00,000.00","? 2,08,70,00,000.00","? 13,20,00,000.00","? 31,90,00,000.00","? 8,85,10,00,000.00","? 6,76,40,00,000.00","? 4,52,40,00,000.00","? 1,62,70,00,000.00",37.53%,48.23%,39.75%,16.55%
3M,MMM,"? 1,70,60,00,000.00","? 1,38,90,00,000.00","? 1,81,40,00,000.00","? 4,24,60,00,000.00","? 1,98,30,00,000.00","? 1,98,30,00,000.00","? 14,10,00,000.00","? 31,60,00,000.00","? 8,58,30,00,000.00","? 6,60,00,00,000.00","? 4,33,70,00,000.00","? 1,39,00,00,000.00",32.71%,46.70%,42.72%,18.58%
3M,MMM,"? 1,76,10,00,000.00","? 1,43,40,00,000.00","? 1,73,90,00,000.00","? 4,08,90,00,000.00","? 1,86,80,00,000.00","? 1,86,80,00,000.00","? 11,70,00,000.00","? 32,40,00,000.00","? 8,94,20,00,000.00","? 7,07,40,00,000.00","? 4,85,30,00,000.00","? 1,43,70,00,000.00",35.07%,45.68%,42.53%,18.57%
3M,MMM,"? 1,94,00,00,000.00","? 1,52,40,00,000.00","? 1,66,60,00,000.00","? 4,23,10,00,000.00","? 2,05,10,00,000.00","? 2,05,10,00,000.00","? 12,10,00,000.00","? 41,50,00,000.00","? 8,95,00,00,000.00","? 6,89,90,00,000.00","? 4,71,90,00,000.00","? 1,52,50,00,000.00",36.02%,48.48%,39.38%,21.44%
3M,MMM,"? 1,94,60,00,000.00","? 1,62,40,00,000.00","? 1,72,00,00,000.00","? 4,32,70,00,000.00","? 2,08,70,00,000.00","? 2,08,70,00,000.00","? 13,20,00,000.00","? 31,90,00,000.00","? 8,85,10,00,000.00","? 6,76,40,00,000.00","? 4,52,40,00,000.00","? 1,62,70,00,000.00",37.53%,48.23%,39.75%,16.55%
3M,MMM,"? 1,70,60,00,000.00","? 1,38,90,00,000.00","? 1,81,40,00,000.00","? 4,24,60,00,000.00","? 1,98,30,00,000.00","? 1,98,30,00,000.00","? 14,10,00,000.00","? 31,60,00,000.00","? 8,58,30,00,000.00","? 6,60,00,00,000.00","? 4,33,70,00,000.00","? 1,39,00,00,000.00",32.71%,46.70%,42.72%,18.58%
A. O. Smith,AOS,"? 16,64,00,000.00","? 13,16,00,000.00","? 17,43,00,000.00","? 34,03,00,000.00","? 16,60,00,000.00","? 16,60,00,000.00","? 10,00,000.00","? 3,48,00,000.00","? 91,46,00,000.00","? 74,86,00,000.00","? 57,43,00,000.00","? 13,16,00,000.00",38.67%,48.78%,51.22%,20.91%
A. O. Smith,AOS,"? 15,13,00,000.00","? 11,82,00,000.00","? 16,98,00,000.00","? 32,14,00,000.00","? 15,16,00,000.00","? 15,16,00,000.00","? 9,00,000.00","? 3,31,00,000.00","? 85,98,00,000.00","? 70,82,00,000.00","? 53,84,00,000.00","? 11,82,00,000.00",36.78%,47.17%,52.83%,21.88%
A. O. Smith,AOS,"? 12,61,00,000.00","? 9,77,00,000.00","? 16,65,00,000.00","? 28,86,00,000.00","? 12,21,00,000.00","? 12,21,00,000.00","? 10,00,000.00","? 2,84,00,000.00","? 76,90,00,000.00","? 64,69,00,000.00","? 48,04,00,000.00","? 9,77,00,000.00",33.85%,42.31%,57.69%,22.52%
A. O. Smith,AOS,"? 15,19,00,000.00","? 12,00,00,000.00","? 18,47,00,000.00","? 32,41,00,000.00","? 13,94,00,000.00","? 13,94,00,000.00","? 10,00,000.00","? 3,19,00,000.00","? 83,45,00,000.00","? 69,51,00,000.00","? 51,04,00,000.00","? 12,00,00,000.00",37.03%,43.01%,56.99%,21.00%
Abbott Laboratories,ABT,"? 2,49,30,00,000.00","? 2,10,00,00,000.00","? 2,69,90,00,000.00","? 6,50,50,00,000.00","? 2,61,40,00,000.00","? 2,61,40,00,000.00","? 13,30,00,000.00","? 39,30,00,000.00","? 10,92,80,00,000.00","? 8,31,40,00,000.00","? 4,42,30,00,000.00","? 2,10,00,00,000.00",32.28%,40.18%,41.49%,15.76%
Abbott Laboratories,ABT,"? 1,34,80,00,000.00","? 1,18,90,00,000.00","? 2,65,80,00,000.00","? 5,78,60,00,000.00","? 1,97,00,00,000.00","? 1,97,00,00,000.00","? 13,40,00,000.00","? 15,90,00,000.00","? 10,22,30,00,000.00","? 8,25,30,00,000.00","? 4,43,70,00,000.00","? 1,18,90,00,000.00",20.55%,34.05%,45.94%,11.80%
Abbott Laboratories,ABT,"? 2,04,30,00,000.00","? 1,79,30,00,000.00","? 2,71,60,00,000.00","? 6,05,60,00,000.00","? 2,17,70,00,000.00","? 2,17,70,00,000.00","? 13,50,00,000.00","? 25,00,00,000.00","? 10,45,60,00,000.00","? 8,27,90,00,000.00","? 4,40,00,00,000.00","? 1,79,30,00,000.00",29.61%,35.95%,44.85%,12.24%
Abbott Laboratories,ABT,"? 2,38,80,00,000.00","? 2,16,20,00,000.00","? 2,52,50,00,000.00","? 6,20,70,00,000.00","? 2,53,10,00,000.00","? 2,53,10,00,000.00","? 13,60,00,000.00","? 23,00,00,000.00","? 10,70,10,00,000.00","? 8,17,00,00,000.00","? 4,49,40,00,000.00","? 2,15,80,00,000.00",34.83%,40.78%,40.68%,9.46%
AbbVie,ABBV,"? 3,68,80,00,000.00","? 3,17,90,00,000.00","? 2,94,60,00,000.00","? 9,99,80,00,000.00","? 4,89,70,00,000.00","? 4,89,70,00,000.00","? 59,60,00,000.00","? 50,80,00,000.00","? 14,34,20,00,000.00","? 9,44,50,00,000.00","? 4,34,40,00,000.00","? 3,18,00,00,000.00",31.80%,48.98%,29.47%,13.80%
AbbVie,ABBV,"? 1,16,30,00,000.00","? 76,60,00,000.00","? 3,04,90,00,000.00","? 9,46,10,00,000.00","? 4,69,60,00,000.00","? 4,69,60,00,000.00","? 61,50,00,000.00","? 39,40,00,000.00","? 13,95,90,00,000.00","? 9,26,30,00,000.00","? 4,49,80,00,000.00","? 76,90,00,000.00",8.10%,49.64%,32.23%,34.14%
AbbVie,ABBV,"? 3,86,70,00,000.00","? 3,55,30,00,000.00","? 2,74,10,00,000.00","? 8,81,80,00,000.00","? 4,34,60,00,000.00","? 4,34,60,00,000.00","? 63,20,00,000.00","? 31,20,00,000.00","? 13,01,00,00,000.00","? 8,66,40,00,000.00","? 4,19,20,00,000.00","? 3,55,50,00,000.00",40.29%,49.29%,31.08%,8.12%
AbbVie,ABBV,"? 1,50,70,00,000.00","? 3,60,00,000.00","? 3,09,90,00,000.00","? 10,44,80,00,000.00","? 5,52,80,00,000.00","? 5,52,80,00,000.00","? 62,90,00,000.00","? 1,54,50,00,000.00","? 13,85,80,00,000.00","? 8,33,00,00,000.00","? 3,41,00,00,000.00","? 3,80,00,000.00",0.34%,52.91%,29.66%,102.39%
Abiomed,ABMD,"? 6,72,71,000.00","? 5,69,53,000.00","? 10,27,79,000.00","? 20,42,56,000.00","? 6,04,36,000.00","? 6,04,36,000.00",,"? 1,03,18,000.00","? 24,81,42,000.00","? 18,77,06,000.00","? 4,38,86,000.00","? 5,69,53,000.00",27.88%,29.59%,50.32%,15.34%
Abiomed,ABMD,"? 93,50,000.00","? 2,65,25,000.00","? 10,34,84,000.00","? 20,73,97,000.00","? 6,70,76,000.00","? 6,70,76,000.00",,"? 1,71,75,000.00","? 25,25,85,000.00","? 18,55,09,000.00","? 4,51,88,000.00","? 2,65,25,000.00",-12.79%,32.34%,49.90%,-183.69%
